Kategorie,Frage,Antwort
CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #8597805 (Roujin),Geh.,Go.
CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #380701 (cburgmer),Hallo!,Hi.
CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #659813 (Esperantostern),Grüß Gott!,Hi.
CC-BY 2.0 (France) Attribution: tatoeba.org #906328 (papabear) & #941078 (Fingerhut),Lauf!,Run!
CC-BY 2.0 (France) Attribution: tatoeba.org #4008918 (JSakuragi) & #941078 (Fingerhut),Lauf!,Run.
CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #2122382 (Pfirsichbaeumchen),Potzdonner!,Wow!
CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #2122391 (Pfirsichbaeumchen),Donnerwetter!,Wow!
CC-BY 2.0 (France) Attribution: tatoeba.org #1829639 (Spamster) & #1958697 (Tamy),Feuer!,Fire!
CC-BY 2.0 (France) Attribution: tatoeba.org #435084 (lukaszpp) & #575889 (MUIRIEL),Hilfe!,Help!
CC-BY 2.0 (France) Attribution: tatoeba.org #435084 (lukaszpp) & #2122375 (Pfirsichbaeumchen),Zu Hülf!,Help!
CC-BY 2.0 (France) Attribution: tatoeba.org #448320 (FeuDRenais) & #626467 (jakov),Stopp!,Stop!
CC-BY 2.0 (France) Attribution: tatoeba.org #1744314 (belgavox) & #2122378 (Pfirsichbaeumchen),Warte!,Wait!
CC-BY 2.0 (France) Attribution: tatoeba.org #3048304 (camilozeta) & #8597806 (Roujin),Warte.,Wait.
CC-BY 2.0 (France) Attribution: tatoeba.org #6102432 (mailohilohi) & #4942826 (Hans_Adler),Fang an.,Begin.
CC-BY 2.0 (France) Attribution: tatoeba.org #2230774 (CK) & #6625701 (Felixjp),Mach weiter.,Go on.
CC-BY 2.0 (France) Attribution: tatoeba.org #373330 (CK) & #380701 (cburgmer),Hallo!,Hello!
CC-BY 2.0 (France) Attribution: tatoeba.org #1182334 (Hideousss) & #131 (MUIRIEL),Beeil dich!,Hurry!
CC-BY 2.0 (France) Attribution: tatoeba.org #1182334 (Hideousss) & #1169837 (Haehnchenpaella),Schnell!,Hurry!
CC-BY 2.0 (France) Attribution: tatoeba.org #8397686 (CK) & #4785329 (Tamy),Ich versteckte mich.,I hid.
CC-BY 2.0 (France) Attribution: tatoeba.org #8397686 (CK) & #8861617 (mramosch),Ich habe mich versteckt.,I hid.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828607 (CK) & #6643977 (Felixjp),Ich rannte.,I ran.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111796 (CK) & #547386 (Espi),Ich verstehe.,I see.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111796 (CK) & #5677459 (eric2),Aha.,I see.
CC-BY 2.0 (France) Attribution: tatoeba.org #20776 (CK) & #4944510 (Hans_Adler),Ich probiere es.,I try.
CC-BY 2.0 (France) Attribution: tatoeba.org #2005192 (CK) & #4941621 (Hans_Adler),Ich hab gewonnen!,I won!
CC-BY 2.0 (France) Attribution: tatoeba.org #2005192 (CK) & #4941622 (Hans_Adler),Ich habe gewonnen!,I won!
CC-BY 2.0 (France) Attribution: tatoeba.org #1722133 (shanghainese) & #3172031 (dinkel_girl),Entspann dich.,Relax.
CC-BY 2.0 (France) Attribution: tatoeba.org #7422159 (CM) & #1958697 (Tamy),Feuer!,Shoot!
CC-BY 2.0 (France) Attribution: tatoeba.org #7422159 (CM) & #8597807 (Roujin),Schieß!,Shoot!
CC-BY 2.0 (France) Attribution: tatoeba.org #2764108 (CK) & #4659632 (AC),Lächeln!,Smile.
CC-BY 2.0 (France) Attribution: tatoeba.org #8540654 (CK) & #8861637 (mramosch),Frag mich!,Ask me.
CC-BY 2.0 (France) Attribution: tatoeba.org #8540654 (CK) & #8861639 (mramosch),Fragt mich!,Ask me.
CC-BY 2.0 (France) Attribution: tatoeba.org #8540654 (CK) & #8861640 (mramosch),Fragen Sie mich!,Ask me.
CC-BY 2.0 (France) Attribution: tatoeba.org #1972610 (CK) & #5227364 (jaz1313),Angriff!,Attack!
CC-BY 2.0 (France) Attribution: tatoeba.org #1972610 (CK) & #5946689 (list),Attacke!,Attack!
CC-BY 2.0 (France) Attribution: tatoeba.org #487006 (human600) & #957535 (Sudajaengi),Zum Wohl!,Cheers!
CC-BY 2.0 (France) Attribution: tatoeba.org #4768107 (garborg) & #8597873 (Roujin),Iss es.,Eat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #4769344 (garborg) & #8227448 (MisterTrouser),Iss auf.,Eat up.
CC-BY 2.0 (France) Attribution: tatoeba.org #4769344 (garborg) & #8637528 (Pfirsichbaeumchen),Iss auf!,Eat up.
CC-BY 2.0 (France) Attribution: tatoeba.org #2160489 (Dreamk33) & #3155388 (Pfirsichbaeumchen),Keine Bewegung!,Freeze!
CC-BY 2.0 (France) Attribution: tatoeba.org #2160489 (Dreamk33) & #3155390 (Pfirsichbaeumchen),Stehenbleiben!,Freeze!
